Station Name,Current Output (MW),Region,Most Recent Output Time (AEST),Current % of Max Cap,Current % of Reg Cap,Max Cap (MW),Reg Cap (MW),Max ROC/Min,Unit Size (MW),Physical Unit No.,Participant,Dispatch Type,Category,Classification,Fuel Source - Primary,Fuel Source - Descriptor,Technology Type - Primary,Technology Type - Descriptor,Aggregation,DUID,Lat,Lon
"Tumut 1 Power Station, Tumut 2 Power Station",117.26913,NSW1,2022-07-01T11:05:00+0000,17.63,19.04,665,616,320,"82, 72","1-4, 5-8",Snowy Hydro Limited,Generator,Market,Scheduled,Hydro,Water,Renewable,Hydro - Gravity,Y,UPPTUMUT,-35.951729,148.36371
Uranquinty Power Station,0,NSW1,2022-07-01T11:05:00+0000,0,0,166,166,34,166,1,Origin Energy Uranquinty Power Pty Ltd,Generator,Market,Scheduled,Fossil,Natural Gas,Combustion,Open Cycle Gas turbines (OCGT),N,URANQ11,-35.179395,147.215692
Uranquinty Power Station,0,NSW1,2022-07-01T11:05:00+0000,0,0,166,166,34,166,2,Origin Energy Uranquinty Power Pty Ltd,Generator,Market,Scheduled,Fossil,Natural Gas,Combustion,Open Cycle Gas turbines (OCGT),N,URANQ12,-35.179395,147.215692
Uranquinty Power Station,0,NSW1,2022-07-01T11:05:00+0000,0,0,166,166,34,166,3,Origin Energy Uranquinty Power Pty Ltd,Generator,Market,Scheduled,Fossil,Natural Gas,Combustion,Open Cycle Gas turbines (OCGT),N,URANQ13,-35.179395,147.215692
Uranquinty Power Station,0,NSW1,2022-07-01T11:05:00+0000,0,0,166,166,34,166,4,Origin Energy Uranquinty Power Pty Ltd,Generator,Market,Scheduled,Fossil,Natural Gas,Combustion,Open Cycle Gas turbines (OCGT),N,URANQ14,-35.179395,147.215692
"Vales Point ""B"" Power Station",599.625,NSW1,2022-07-01T11:05:00+0000,88.18,90.85,680,660,25,660,5,Delta Electricity,Generator,Market,Scheduled,Fossil,Black Coal,Combustion,Steam Sub-Critical,N,VP5,-33.160745,151.543146
"Vales Point ""B"" Power Station",599.59998,NSW1,2022-07-01T11:05:00+0000,88.18,90.85,680,660,25,660,6,Delta Electricity,Generator,Market,Scheduled,Fossil,Black Coal,Combustion,Steam Sub-Critical,N,VP6,-33.160745,151.543146
Wivenhoe Power Station,0,QLD1,2022-07-01T11:05:00+0000,0,0,312,250,120,250,1,CS Energy Limited,Generator,Market,Scheduled,Hydro,Water,Renewable,Hydro - pump storage,N,W/HOE#1,-27.395212,152.609153
Wivenhoe Power Station,0,QLD1,2022-07-01T11:05:00+0000,0,0,312,250,120,250,2,CS Energy Limited,Generator,Market,Scheduled,Hydro,Water,Renewable,Hydro - pump storage,N,W/HOE#2,-27.395212,152.609153
Waterloo Wind Farm,3.3,SA1,2022-07-01T11:05:00+0000,2.52,2.52,130.8,130.8,27,"3, 3.3","1-37, 38-43",Waterloo Wind Farm Pty Ltd,Generator,Market,Semi-Scheduled,Wind,Wind,Renewable,Wind - Onshore,N,WATERLWF,-34.00035762,138.9153189
West Kiewa Power Station,30,VIC1,2022-07-01T11:05:00+0000,88.24,96.77,34,31,15,15,1,AGL Hydro Partnership,Generator,Market,Scheduled,Hydro,Water,Renewable,Hydro - Gravity,N,WKIEWA1,-41.811573,146.919038
West Kiewa Power Station,0.1,VIC1,2022-07-01T11:05:00+0000,0.29,0.32,34,31,15,15,2,AGL Hydro Partnership,Generator,Market,Scheduled,Hydro,Water,Renewable,Hydro - Gravity,N,WKIEWA2,-36.760066,147.186048
Woodlawn Wind Farm,28.60199,NSW1,2022-07-01T11:05:00+0000,59.59,59.59,48,48,13,2.1,23-Jan,Woodlawn Wind Pty Ltd,Generator,Market,Semi-Scheduled,Wind,Wind,Renewable,Wind - Onshore,N,WOODLWN1,-35.0860597,149.5716058
Townsville Gas Turbine,0,QLD1,2022-07-01T11:05:00+0000,0,0,174,160,17,160,1,AGL Hydro Partnership,Generator,Market,Scheduled,Fossil,Natural Gas,Combustion,Open Cycle Gas turbines (OCGT),N,YABULU,-19.201056,146.618707
Townsville Gas Turbine,0,QLD1,2022-07-01T11:05:00+0000,0,0,84,82,10,82,2,AGL Hydro Partnership,Generator,Market,Scheduled,Fossil,Natural Gas,Combustion,Open Cycle Gas turbines (OCGT),N,YABULU2,-19.201056,146.618707
Yarwun Power Station,114.86,QLD1,2022-07-01T11:05:00+0000,63.81,74.58,180,154,36,154,1,RTA Yarwun Pty Ltd,Generator,Market,Non-Scheduled,Fossil,Natural Gas,Combustion,Combined Cycle Gas Turbine (CCGT),N,YARWUN_1,-23.830645,151.15193
Yallourn W Power Station,0,VIC1,2022-07-01T11:05:00+0000,0,0,395,360,79,360,1,EnergyAustralia Yallourn Pty Ltd,Generator,Market,Scheduled,Fossil,Brown Coal,Combustion,Steam Sub-Critical,N,YWPS1,-38.177015,146.342783
Yallourn W Power Station,360.14935,VIC1,2022-07-01T11:05:00+0000,94.78,100.04,380,360,76,360,2,EnergyAustralia Yallourn Pty Ltd,Generator,Market,Scheduled,Fossil,Brown Coal,Combustion,Steam Sub-Critical,N,YWPS2,-38.177015,146.342783
Yallourn W Power Station,341.32278,VIC1,2022-07-01T11:05:00+0000,84.28,89.82,405,380,81,380,3,EnergyAustralia Yallourn Pty Ltd,Generator,Market,Scheduled,Fossil,Brown Coal,Combustion,Steam Sub-Critical,N,YWPS3,-38.177015,146.342783
Yallourn W Power Station,0,VIC1,2022-07-01T11:05:00+0000,0,0,405,380,81,380,4,EnergyAustralia Yallourn Pty Ltd,Generator,Market,Scheduled,Fossil,Brown Coal,Combustion,Steam Sub-Critical,N,YWPS4,-38.177015,146.342783
German Creek Power Station,25.9,QLD1,2022-07-01T11:05:00+0000,57.56,80.94,45,32,,2,16-Jan,EDL CSM (QLD) Pty Ltd,Generator,Market,Non-Scheduled,Fossil,Waste Coal Mine Gas,Combustion,Compression Reciprocating Engine,N,GERMCRK,-22.928147,148.551497
Boco Rock Wind Farm,34.73,NSW1,2022-07-01T11:05:00+0000,30.69,30.69,113.18,113.18,201,"1.7, 1.62",".1-58, 59-67",Boco Rock Wind Farm Pty Ltd,Generator,Market,Semi-Scheduled,Wind,Wind,Renewable,Wind - Onshore,N,BOCORWF1,-36.59141422,149.1296751
"Moranbah North Power Station, Grosvenor 1 Waste Coal Mine Gas Power Station",40.087509,QLD1,2022-07-01T11:05:00+0000,51.39,47.72,78,84,,"3.02, 3.041","1-21, 1-7",EDL Projects (Australia) Pty Ltd,Generator,Market,Non-Scheduled,"Renewable, Gas",Waste Coal Mine Gas,Combustion,Spark Ignition,Y,MBAHNTH,-21.89665526,147.9506554
Taralga Wind Farm,40.2,NSW1,2022-07-01T11:05:00+0000,37.64,37.64,106.8,106.8,,106.8,.1-51,Taralga Wind Farm Nominees No 2 Pty Ltd (ATF Taralga Wind Farm Operating Trust),Generator,Market,Semi-Scheduled,Wind,Wind,Renewable,Wind - Onshore,N,TARALGA1,-34.427076,149.85764
Nyngan Solar Plant,0,NSW1,2022-07-01T11:05:00+0000,0,0,102,102,20,0.66,1-154,AGL Hydro Partnership,Generator,Market,Semi-Scheduled,Solar,Solar PV,Renewable,Photovoltaic Flat Panel,N,NYNGAN1,-31.55274036,147.085352
Bald Hills Wind Farm,10.886,VIC1,2022-07-01T11:05:00+0000,9.07,10.21,120,106.6,,106.6,.1-52,Alinta Energy Retail Sales Pty Ltd,Generator,Market,Semi-Scheduled,Wind,Wind,Renewable,Wind - Onshore,N,BALDHWF1,-38.7908,145.9277
Royalla Solar Farm,0,NSW1,2022-07-01T11:05:00+0000,0,0,20,20,,1,20-Jan,Royalla Solar Farm Pty Ltd,Generator,Market,Non-Scheduled,Solar,Solar PV,Renewable,Photovoltaic Flat Panel,N,ROYALLA1,-35.4901,149.143
Laverton North Power Station,166.44978,VIC1,2022-07-01T11:05:00+0000,96.77,106.7,172,156,27,156,1,Snowy Hydro Limited,Generator,Market,Scheduled,Fossil,Natural Gas,Combustion,Open Cycle Gas turbines (OCGT),N,LNGS1,-37.84158,144.788711
Laverton North Power Station,166.18121,VIC1,2022-07-01T11:05:00+0000,96.62,106.53,172,156,27,156,2,Snowy Hydro Limited,Generator,Market,Scheduled,Fossil,Natural Gas,Combustion,Open Cycle Gas turbines (OCGT),N,LNGS2,-37.84158,144.788711
Valley Power Peaking Facility,0,VIC1,2022-07-01T11:05:00+0000,0,0,60,50,11,50,1,Snowy Hydro Limited,Generator,Market,Scheduled,Fossil,Natural Gas,Combustion,Open Cycle Gas turbines (OCGT),N,VPGS1,-38.253622,146.589166
Valley Power Peaking Facility,0,VIC1,2022-07-01T11:05:00+0000,0,0,60,50,11,50,2,Snowy Hydro Limited,Generator,Market,Scheduled,Fossil,Natural Gas,Combustion,Open Cycle Gas turbines (OCGT),N,VPGS2,-38.253622,146.589166
Valley Power Peaking Facility,0,VIC1,2022-07-01T11:05:00+0000,0,0,60,50,11,50,3,Snowy Hydro Limited,Generator,Market,Scheduled,Fossil,Natural Gas,Combustion,Open Cycle Gas turbines (OCGT),N,VPGS3,-38.253622,146.589166
Valley Power Peaking Facility,0,VIC1,2022-07-01T11:05:00+0000,0,0,60,50,11,50,4,Snowy Hydro Limited,Generator,Market,Scheduled,Fossil,Natural Gas,Combustion,Open Cycle Gas turbines (OCGT),N,VPGS4,-38.253622,146.589166
Valley Power Peaking Facility,0,VIC1,2022-07-01T11:05:00+0000,0,0,60,50,11,50,5,Snowy Hydro Limited,Generator,Market,Scheduled,Fossil,Natural Gas,Combustion,Open Cycle Gas turbines (OCGT),N,VPGS5,-38.253622,146.589166
Valley Power Peaking Facility,0,VIC1,2022-07-01T11:05:00+0000,0,0,60,50,11,50,6,Snowy Hydro Limited,Generator,Market,Scheduled,Fossil,Natural Gas,Combustion,Open Cycle Gas turbines (OCGT),N,VPGS6,-38.253622,146.589166
Broken Hill Solar Plant,0,NSW1,2022-07-01T11:05:00+0000,0,0,53.76,53.76,,0.672,.1-80,AGL Hydro Partnership,Generator,Market,Semi-Scheduled,Solar,Solar,Renewable,Photovoltaic Flat Panel,Y,BROKENH1,-31.98670743,141.3915455
Lonsdale Power Station,14.92,SA1,2022-07-01T11:05:00+0000,71.05,74.6,21,20,,1.125,18-Jan,Snowy Hydro Limited,Generator,Market,Scheduled,Fossil,Diesel,Combustion,Compression Reciprocating Engine,Y,LONSDALE,-35.10966855,138.4910068
Port Stanvac Power Station 1,0,SA1,2022-07-01T11:05:00+0000,0,0,65,58,,1.6,Jan-36,Snowy Hydro Limited,Generator,Market,Scheduled,Fossil,Diesel,Combustion,Compression Reciprocating Engine,N,PTSTAN1,-35.11039534,138.4914591
Moree Solar Farm,0,QLD1,2022-07-01T11:05:00+0000,0,0,56,57,,20,Jan-56,Moree Solar Farm Pty Ltd,Generator,Market,Semi-Scheduled,Solar,Solar PV,Renewable,Photovoltaic Flat Panel,N,MOREESF1,-29.569,149.867
Angaston Power Station,41.2,SA1,2022-07-01T11:05:00+0000,82.4,82.4,50,50,14,1.667,30,Snowy Hydro Limited,Generator,Market,Scheduled,Fossil,Diesel,Combustion,Compression Reciprocating Engine,Y,ANGAST1,-34.50348,139.024537
Hornsdale Wind Farm,21.5,SA1,2022-07-01T11:05:00+0000,21,21,102.4,102.4,50,3.2,Jan-32,HWF1 Pty Ltd,Generator,Market,Semi-Scheduled,Wind,Wind,Renewable,Wind - Onshore,Y,HDWF1,-33.042878,138.556285
Barcaldine Solar Farm,0,QLD1,2022-07-01T11:05:00+0000,0,0,20,20,,20,2-Jan,Barcaldine Remote Community Solar Farm Pty Ltd,Generator,Market,Non-Scheduled,Solar,Solar,Renewable,Photovoltaic Tracking Flat Panel,Y,BARCSF1,-23.547418,145.319009
Hornsdale Wind Farm 2,23.1,SA1,2022-07-01T11:05:00+0000,22.56,22.56,102.4,102.4,50,3.2,Jan-32,HWF2 Pty Ltd,Generator,Market,Semi-Scheduled,Wind,Wind,Renewable,Wind - Onshore,Y,HDWF2,-33.042878,138.556285
Hunter Valley Gas Turbine,,NSW1,2022-03-14T14:00:00+0000,,,50,50,10,25,2-Jan,AGL Macquarie Pty Limited,Generator,Market,Scheduled,Fossil,Kerosene,Combustion,Open Cycle Gas turbines (OCGT),Y,HVGTS,-32.389253,150.966396
South East Water - Hallam Hydro Plant,,VIC1,,,,1,0.25,,0.25,1,Progressive Green Pty Ltd,Generator,Market,Non-Scheduled,Hydro,Water,Renewable,Hydro - Gravity,N,HLMSEW01,-38.02317811,145.2781215
Kareeya Power Station,,QLD1,,,,7,7,,7,5,Stanwell Corporation Limited,Generator,Market,Non-Scheduled,Hydro,Water,Renewable,Run of River,N,KAREEYA5,-17.767002,145.577865
Hallam Road Renewable Energy Facility,,VIC1,,,,9,8.984,,1.123,8-Jan,Lumo Energy Australia Pty Ltd,Generator,Market,Non-Scheduled,Renewable/ Biomass / Waste,Landfill Methane / Landfill Gas,Combustion,Spark Ignition Reciprocating Engine,N,HALLAMRD1,-38.053343,145.269856
Tatura Biomass Generator,,VIC1,,,,1,1.1,,1.1,1,Diamond Energy Pty Ltd,Generator,Market,Non-Scheduled,Renewable/ Biomass / Waste,Sewerage/Waste Water,Combustion,Compression Reciprocating Engine,N,TATURA01,-36.479261,145.235026
Glenbawn Hydro Power Station,,NSW1,,,,5,5.8,,5.8,1,AGL Hydro Partnership,Generator,Market,Non-Scheduled,Hydro,Water,Renewable,Hydro - Gravity,N,GLBWNHYD,-32.109661,150.998154
Remount Power Station,,TAS1,,,,2,2,,1,2-Jan,LUMO Generation SA Pty Ltd,Generator,Market,Non-Scheduled,Renewable/ Biomass / Waste,Landfill Methane / Landfill Gas,,,N,REMOUNT,-41.395049,147.155425
The Drop Hydro Unit 1,,NSW1,,,,3,3,0,2.5,1,Pacific Hydro Investments Pty Ltd,Generator,Market,Non-Scheduled,Hydro,Water,Renewable,Run of River,N,THEDROP1,-35.604347,145.783725
Mackay Gas Turbine,,QLD1,2021-03-31T14:00:00+0000,,,34,30,16,30,1,Stanwell Corporation Limited,Generator,Market,Scheduled,Fossil,Diesel,Combustion,Open Cycle Gas turbines (OCGT),N,MACKAYGT,-21.144566,149.159097
Ararat Wind Farm,,VIC1,,,,241.59,241.59,50,12.26,Jan-75,Ararat Wind Farm Pty Ltd,Generator,Market,Semi-Scheduled,Wind,Wind,Renewable,Wind - Onshore,Y,ARFW1,-37.238181,143.052044
West Nowra Landfill Gas Power Generation Facility,,NSW1,,,,1,1,,1,1,AGL Hydro Partnership,Generator,Market,Non-Scheduled,Renewable/ Biomass / Waste,Landfill Methane / Landfill Gas,Combustion,Compression Reciprocating Engine,N,AGLNOW1,-34.881978,150.551485
Roghan Road LFG Power Plant,,QLD1,,,,2,2,,2,1,AGL Hydro Partnership,Generator,Market,Non-Scheduled,Renewable/ Biomass / Waste,Bagasse,Combustion,Steam Sub-Critical,N,EDLRGNRD,-27.338768,153.03435
Broadwater Power Station Units 1 and 2,,NSW1,,,,38,38,,30,1,Cape Byron Management Pty Ltd,Generator,Market,Non-Scheduled,Biomass,Bagasse,Combustion,Steam - sub critical,N,BWTR1,-29.011828,153.433481
Keepit Power Station,,NSW1,,,,8,6,,6,1,GSP Energy Pty Ltd,Generator,Market,Non-Scheduled,Hydro,Water,Renewable,Hydro - Gravity,N,KEEPIT,-30.879189,150.491399
Lucas Heights 2 LFG Power Station,,NSW1,,,,5,5,,4.6,15-Dec,EDL LFG (NSW) Pty Ltd,Generator,Market,Non-Scheduled,Renewable/ Biomass / Waste,Landfill Methane / Landfill Gas,Combustion,Compression Reciprocating Engine,N,LUCASHGT,-34.048146,150.973882
Callide A Power Station,,QLD1,2021-03-11T03:25:00+0000,,,30,30,6,30,4,CS Energy Limited,Generator,Market,Non-Scheduled,Fossil,Black Coal,Combustion,Steam Sub-Critical,N,CALL_A_4,-24.334025,150.627973
Invicta Sugar Mill,,QLD1,2018-06-13T14:00:00+0000,,,153,150,,"38.8, 9, 2.5","1, 2, 3",Wilmar Sugar Pty Ltd,Generator,Non-Market,Non-Scheduled,Renewable/ Biomass / Waste,Bagasse,Combustion,Steam Sub-Critical,N,INVICTA,-19.516697,147.106526
Blue Lake Milling Power Plant,,SA1,,,,1,1,,1,1,EnerNOC Pty Ltd,Generator,Market,Non-Scheduled,Fossil,Diesel,Combustion,Compression Reciprocating Engine,N,BLULAKE1,-36.31643279,140.7574619
Claytons Landfill Gas Power Station,,VIC1,,,,11,11,,1,11-Jan,EDL LFG (Vic) Pty Ltd,Generator,Market,Non-Scheduled,Renewable,Landfill Gas,Combustion,Spark Ignition,N,CLAYTON,-37.9502,145.118722
Brown Mountain,,NSW1,,,,6,4.95,,"0.5, 0.75, 1, 4.2","1, 2-3, 4-5, 6",Hydro Power Pty Limited,Generator,Market,Non-Scheduled,Hydro,Water,Renewable,Hydro - Gravity,Y,BROWNMT,-36.595145,149.474107
Wollert Renewable Energy Facility,,VIC1,,,,7,6.738,,1.123,6-Jan,Lumo Energy Australia Pty Ltd,Generator,Market,Non-Scheduled,Renewable/ Biomass / Waste,Landfill Methane / Landfill Gas,Combustion,Spark Ignition Reciprocating Engine,N,WOLLERT1,-37.582957,145.048704
Teralba Power Station,,NSW1,,,,3,3,,1,3-Jan,EnviroGen Pty Limited,Generator,Market,Non-Scheduled,Fossil,Coal Seam Methane,Combustion,Compression Reciprocating Engine,N,TERALBA,-32.94549,151.611907
SA Water Bolivar Waste Water Treatment (WWT) Plant,,SA1,,,,9.9,9.9,,9.9,4,Alinta Energy Retail Sales Pty Ltd,Generator,Market,Non-Scheduled,Renewable/ Biomass / Waste,Waste Water / Sewerage,Combustion,Compression Reciprocating Engine,N,BOLIVAR1,-34.76995,138.58315
Woy Woy Landfill Site,,NSW1,,,,1,1.064,,1.064,1,AGL Hydro Partnership,Generator,Market,Non-Scheduled,Landfill / Biogas,Landfill / Biogas,Combustion,Compression Reciprocating Engine,N,WOYWOY1,-33.504945,151.291944
Woodlawn Bioreactor Energy Generation Station,,NSW1,,,,7,7,,1.065,6-Jan,EnergyAustralia Pty Ltd,Generator,Market,Non-Scheduled,Renewable/ Biomass / Waste,Landfill Methane / Landfill Gas,Combustion,Compression Reciprocating Engine,N,WDLNGN01,-35.05900246,149.576905
ISIS Central Sugar Mill Co-generation Plant,,QLD1,,,,25,25,,25,1,AGL Hydro Partnership,Generator,Market,Non-Scheduled,Renewable/ Biomass / Waste,Bagasse,Combustion,Steam Sub-Critical,N,ICSM,-25.193986,152.208556
West Illawarra Leagues Club Plant,,NSW1,,,,1,1,,"0.715, 0.275","1, 2",EnerNOC Pty Ltd,Generator,Market,Non-Scheduled,Fuel Oil,Diesel,Combustion,Compression Reciprocating Engine,N,WESTILL1,-34.451537,150.842907
Glenmaggie Hydro Power Station,,VIC1,,,,4,4,0,3.8,1,Pacific Hydro Investments Pty Ltd,Generator,Market,Non-Scheduled,Hydro,Water,Renewable,Run of River,N,GLENMAG1,-37.904745,146.801085
Windy Hill Wind Farm,,QLD1,,,,12,12,,0.6,20-Jan,Windy Hill Wind Farm Pty Ltd,Generator,Market,Non-Scheduled,Wind,Wind,Renewable,Wind - Onshore,Y,WHILL1,-17.5922,145.5306
Pindari Hydro Power Station,,NSW1,,,,6,6.7,,6.7,1,AGL Hydro Partnership,Generator,Market,Non-Scheduled,Hydro,Water,Renewable,Hydro - Gravity,N,PINDARI,-29.388626,151.244202
Condong Power Station Unit 1,,NSW1,,,,30,30,,30,1,Cape Byron Management Pty Ltd,Generator,Market,Non-Scheduled,Biomass,Bagasse,Combustion,Steam - sub critical,N,CONDONG1,-28.313802,153.43411
Burrinjuck Power Station,,NSW1,,,,28,27,,"5.7, 15.4","3-4, 5",GSP Energy Pty Ltd,Generator,Market,Non-Scheduled,Hydro,Water,Renewable,Hydro - Gravity,N,BURRIN,-35.00252,148.583393
"Torrens Island Power Station ""A""",,SA1,2020-09-29T14:00:00+0000,,,120,120,15,120,4,AGL SA Generation Pty Limited,Generator,Market,Scheduled,Fossil,Natural Gas / Fuel Oil,Combustion,Steam Sub-Critical,N,TORRA4,-34.806844,138.521322
Wilga Park B Power Station,,NSW1,,,,6,6,,3,2,SANTOS NSW (NARRABRI POWER) PTY LTD,Generator,Market,Non-Scheduled,Fossil,Coal Seam Methane,Combustion,Spark Ignition Reciprocating Engine,N,WILGB01,-30.363437,149.677153
Shepparton Wastewater Treatment Facility,,VIC1,,,,1,1.1,,1.1,1,Diamond Energy Pty Ltd,Generator,Market,Non-Scheduled,Renewable/ Biomass / Waste,Sewerage/Waste Water,Combustion,Compression Reciprocating Engine,N,SHEP1,-36.321775,145.378983
Jounama Small Hydro Power Station,,NSW1,,,,14,14,,14,1,Snowy Hydro Limited,Generator,Market,Non-Scheduled,Hydro,Water,Renewable,Hydro - Gravity,N,JOUNAMA1,-35.561965,148.305517
Jindabyne Small Hydro Power Station,,NSW1,,,,1,1.1,,1.1,1,Snowy Hydro Limited,Generator,Market,Non-Scheduled,Hydro,Water,Renewable,Hydro - Gravity,N,JNDABNE1,-36.43515,148.63325
Basslink HVDC Link,,TAS1,,,,478,478,200,478,1,Basslink Pty Ltd,Network Service Provider,Market,Scheduled,,,,,N,BLNKTAS,-41.042222,146.868611
Jacks Gully Landfill Gas Power Station,,NSW1,,,,2.3,2.3,,1.15,2,EDL LFG (NSW) Pty Ltd,Generator,Market,Non-Scheduled,Renewable/ Biomass / Waste,Landfill Methane / Landfill Gas,Combustion,Spark Ignition Reciprocating Engine,N,JACKSGUL,-34.07344,150.742689
Wingfield 2 Landfill Gas Power Station Units 1-4,,SA1,,,,5,5,0,1.03,4-Jan,EDL LFG (SA) Pty Ltd,Generator,Market,Non-Scheduled,Renewable/ Biomass / Waste,Landfill Methane / Landfill Gas,Combustion,Spark Ignition Reciprocating Engine,N,WING2_1,-34.832081,138.548903
AGL SITA Landfill1 Kemps Creek,,NSW1,,,,2.8,2.8,,1.4,2-Jan,AGL Hydro Partnership,Generator,Market,Non-Scheduled,"Landfill, Biogas","Landfill, Biogas",Combustion,Compression Reciprocating Engine,Y,AGLSITA1,-33.862398,150.756411
Copeton Hydro Power Station,,NSW1,,,,24,24,,24,1,AGL Hydro Partnership,Generator,Market,Non-Scheduled,Hydro,Water,Renewable,Hydro - Gravity,N,COPTNHYD,-29.910198,150.923462
"Torrens Island Power Station ""A""",,SA1,2020-09-29T14:00:00+0000,,,120,120,20,120,2,AGL SA Generation Pty Limited,Generator,Market,Scheduled,Fossil,Natural Gas / Fuel Oil,Combustion,Steam Sub-Critical,N,TORRA2,-34.806844,138.521322
Awaba Power Station,,NSW1,,,,1,1.123,,1.123,1,LUMO Generation SA Pty Ltd,Generator,Market,Non-Scheduled,Renewable/ Biomass / Waste,Landfill Methane / Landfill Gas,,,N,AWABAREF,-33.02503,151.549719
Wyangala A Power Station,,NSW1,,,,20,20,,20,1,Hydro Power Pty Limited,Generator,Market,Non-Scheduled,Hydro,Water,Renewable,Hydro - Gravity,N,WYANGALA,-33.980989,148.947306
Bankstown Sports Club Plant Units,,NSW1,,,,2,2,,"0.8, 1.34","1, 2",EnerNOC Pty Ltd,Generator,Market,Non-Scheduled,Fuel Oil,Diesel,Combustion,Compression Reciprocating Engine,N,BANKSPT1,-33.9196996,151.0332436
St George Leagues Club Plant,,NSW1,,,,1,1,,1.48,1,EnerNOC Pty Ltd,Generator,Market,Non-Scheduled,Fuel Oil,Diesel,Combustion,Compression Reciprocating Engine,N,STGEORG1,-33.97481738,151.129381
Mornington Waste Disposal Facility,,VIC1,,,,1,1,,0.77,1,EnergyAustralia Pty Ltd,Generator,Market,Non-Scheduled,Renewable/ Biomass / Waste,Landfill Methane / Landfill Gas,Combustion,Compression Reciprocating Engine,N,MORNW,-38.391631,144.855322
Rochedale Renewable Energy Facility,,QLD1,,,,4,4,,"1.1, 0.7","1-3, 4",Origin Energy Electricity Limited,Generator,Market,Non-Scheduled,Renewable/ Biomass / Waste,Landfill Methane / Landfill Gas,Combustion,Compression Reciprocating Engine,N,ROCHEDAL,-27.559117,153.123634
Codrington Wind Farm,,VIC1,,,,18,18.2,,1.3,14-Jan,Energy Pacific (Vic) Pty Ltd,Generator,Market,Non-Scheduled,Wind,Wind,Renewable,Wind - Onshore,N,CODRNGTON,-38.28351623,141.9547287
Taralgon Network Support Station,,VIC1,,,,10,10,,2,5-Jan,NovaPower Pty Ltd,Generator,Market,Non-Scheduled,Fossil,Natural Gas,Combustion,Spark Ignition Reciprocating Engine,N,TGNSS1,-38.17909,146.5629
Ballarat Base Hospital Plant,,VIC1,,,,3,3,,1.02,3-Jan,EnerNOC Pty Ltd,Generator,Market,Non-Scheduled,Fossil,Natural Gas,Combustion,Compression Reciprocating Engine,N,BBASEHOS,-37.559607,143.846918
Veolia Ti Tree Bio Reactor,,QLD1,,,,2,2,,1,2-Jan,Veolia Environmental Services (Australia) Pty Ltd,Generator,Market,Non-Scheduled,Renewable/ Biomass / Waste,Landfill Methane / Landfill Gas,Combustion,Compression Reciprocating Engine,Y,TITREE,-27.680164,152.659295
Basslink HVDC Link,,VIC1,,,,594,594,200,594,1,Basslink Pty Ltd,Network Service Provider,Market,Scheduled,,,,,N,BLNKVIC,-38.406111,147.068333
Burrendong Hydro Power Station,,NSW1,,,,19,19,,19,1,AGL Hydro Partnership,Generator,Market,Non-Scheduled,Hydro,Water,Renewable,Hydro - Gravity,N,BDONGHYD,-32.664616,149.107986
Pedler Creek Landfill Gas Power Station Units 1-3,,SA1,,,,3,3,0,1.03,3-Jan,EDL LFG (SA) Pty Ltd,Generator,Market,Non-Scheduled,Renewable/ Biomass / Waste,Landfill Methane / Landfill Gas,Combustion,Spark Ignition Reciprocating Engine,N,PEDLER1,-35.202321,138.502094
Banimboola Power Station,,VIC1,,,,13,12.85,,"5.3, 2.25","1-2, 3",AGL Hydro Partnership,Generator,Market,Non-Scheduled,Hydro,Water,Renewable,Hydro - Gravity,Y,BAPS,-36.534209,147.459426
Southbank Institute Of Technology Unit 1 Plant,,QLD1,,,,1,1,,1,1,Secure Energy Pty Ltd,Generator,Market,Non-Scheduled,Fossil,Diesel,Combustion,Compression Reciprocating Engine,N,STHBKTEC,-27.47511,153.03597
Brooklyn Landfill Gas Power Station,,VIC1,,,,2.83,2.83,,1.15,1,EDL LFG (Vic) Pty Ltd,Generator,Market,Non-Scheduled,Renewable,Landfill Gas,Combustion,Spark Ignition,N,BROOKLYN,-37.817967,144.831876
Nine Network Willoughby Plant,,NSW1,,,,2,3.2,,1.06,3-Jan,EnerNOC Pty Ltd,Generator,Market,Non-Scheduled,Fuel Oil,Diesel,Combustion,Compression Reciprocating Engine,N,NINEWIL1,-33.81096413,151.1966227
Tatiara Bordertown Plant,,SA1,,,,1,0.5,,0.5,1,EnerNOC Pty Ltd,Generator,Market,Non-Scheduled,Fuel Oil,Diesel,Combustion,Compression Reciprocating Engine,N,TATIARA1,-36.32655639,140.7367694
"Grange Avenue Power Station, Grange Avenue Landfill Gas Power Station",,NSW1,,,,3.26,3.26,,"2, 1.26","1, 1","AGL Sales (Queensland Electricity) Pty Limited, EDL LFG (NSW) Pty Ltd",Generator,Market,Non-Scheduled,Renewable/ Biomass / Waste,Landfill Methane / Landfill Gas,Combustion,"Compression Reciprocating Engine, Spark Ignition Reciprocating Engine",N,GRANGEAV,-33.702938,150.831233
Oaky Creek 2 Waste Coal Mine Gas Power Station Units 1-15,,NSW1,,,,15,15,,3,5-Jan,EDL (OCI) Pty Ltd,Generator,Market,Non-Scheduled,Fossil,Waste Coal Mine Gas,Combustion,Spark Ignition,Y,OAKY2,-22.987776,148.581702
Capital East Solar Farm,,NSW1,,,,1,1,,"0.013, 0.011, 0.168","1-2, 3, 4",Infigen Energy  Holdings Pty Ltd,Generator,Market,Non-Scheduled,Solar,Solar PV,Renewable,PV - Panels,N,CESF1,-35.2018,149.5083
