Station Name,Current Output (MW),Region,Most Recent Output Time (AEST),Current % of Max Cap,Current % of Reg Cap,Max Cap (MW),Reg Cap (MW),Max ROC/Min,Unit Size (MW),Physical Unit No.,Participant,Dispatch Type,Category,Classification,Fuel Source - Primary,Fuel Source - Descriptor,Technology Type - Primary,Technology Type - Descriptor,Aggregation,DUID,Lat,Lon
Loy Yang B Power Station,575.56329,VIC1,2022-07-01T11:05:00+0000,95.93,115.11,600,500,25,500,2,IPM Australia Limited,Generator,Market,Scheduled,Fossil,Brown Coal,Combustion,Steam Sub-Critical,N,LOYYB2,-38.256447,146.58637
Loy Yang A Power Station,560,VIC1,2022-07-01T11:05:00+0000,94.92,100,590,560,118,560,1,AGL Loy Yang Marketing Pty Ltd,Generator,Market,Scheduled,Fossil,Brown Coal,Combustion,Steam Sub-Critical,N,LYA1,-38.2536,146.574569
Loy Yang A Power Station,0,VIC1,2022-07-01T11:05:00+0000,0,0,535,530,108,530,2,AGL Loy Yang Marketing Pty Ltd,Generator,Market,Scheduled,Fossil,Brown Coal,Combustion,Steam Sub-Critical,N,LYA2,-38.2536,146.574569
Loy Yang A Power Station,560,VIC1,2022-07-01T11:05:00+0000,94.92,100,590,560,118,560,3,AGL Loy Yang Marketing Pty Ltd,Generator,Market,Scheduled,Fossil,Brown Coal,Combustion,Steam Sub-Critical,N,LYA3,-38.2536,146.574569
Loy Yang A Power Station,558,VIC1,2022-07-01T11:05:00+0000,96.21,99.64,580,560,116,560,4,AGL Loy Yang Marketing Pty Ltd,Generator,Market,Scheduled,Fossil,Brown Coal,Combustion,Steam Sub-Critical,N,LYA4,-38.2536,146.574569
Macarthur Wind Farm,0,VIC1,2022-07-01T11:05:00+0000,0,0,420,420,90,3,1-140,AGL Hydro Partnership,Generator,Market,Semi-Scheduled,Wind,Wind,Renewable,Wind - Onshore,N,MACARTH1,-38.00752684,142.1865101
Mackintosh Power Station,83.95,TAS1,2022-07-01T11:05:00+0000,94.33,105.07,89,79.9,40,79.9,1,Hydro-Electric Corporation trading as Hydro Tasmania,Generator,Market,Scheduled,Hydro,Water,Renewable,Hydro - Gravity,N,MACKNTSH,-41.69975,145.646119
Bogong / Mckay Power Station,2.00E-02,VIC1,2022-07-01T11:05:00+0000,0.01,0.01,300,300,60,"80, 25","B 1-2,  M1-6",AGL Hydro Partnership,Generator,Market,Scheduled,Hydro,Water,Renewable,Hydro - Gravity,Y,MCKAY1,-36.805461,147.228034
Meadowbank Power Station,20.1489,TAS1,2022-07-01T11:05:00+0000,47.97,50.37,42,40,10,40,1,Hydro-Electric Corporation trading as Hydro Tasmania,Generator,Market,Scheduled,Hydro,Water,Renewable,Hydro - Gravity,N,MEADOWBK,-42.611199,146.845676
Mt Mercer Wind Farm,0.8,VIC1,2022-07-01T11:05:00+0000,0.61,0.61,131,131,33,2.05,Jan-64,Mt Mercer Windfarm Pty Ltd,Generator,Market,Semi-Scheduled,Wind,Wind,Renewable,Wind - Onshore,N,MERCER01,-37.841111,143.871111
Mintaro Gas Turbine Station,8.55E-02,SA1,2022-07-01T11:05:00+0000,0.08,0.09,105,90,5,90,1,Synergen Power Pty Limited,Generator,Market,Scheduled,Fossil,Natural Gas,Combustion,Open Cycle Gas turbines (OCGT),N,MINTARO,-33.9031,138.7383
Mortlake Power Station Units,285,VIC1,2022-07-01T11:05:00+0000,101.42,100.71,281,283,13,283,11,Origin Energy Electricity Limited,Generator,Market,Scheduled,Fossil,Natural Gas,Combustion,Open Cycle Gas turbines (OCGT),N,MORTLK11,-38.06316932,142.6674789
Mortlake Power Station Units,283,VIC1,2022-07-01T11:05:00+0000,100.71,100,281,283,13,283,12,Origin Energy Electricity Limited,Generator,Market,Scheduled,Fossil,Natural Gas,Combustion,Open Cycle Gas turbines (OCGT),N,MORTLK12,-38.06316932,142.6674789
Mt Piper Power Station,696.34998,NSW1,2022-07-01T11:05:00+0000,99.48,99.48,700,700,25,700,1,EnergyAustralia Pty Ltd,Generator,Market,Scheduled,Fossil,Black Coal,Combustion,Steam Sub-Critical,N,MP1,-33.358892,150.031322
Mt Piper Power Station,650.40002,NSW1,2022-07-01T11:05:00+0000,92.91,92.91,700,700,25,700,2,EnergyAustralia Pty Ltd,Generator,Market,Scheduled,Fossil,Black Coal,Combustion,Steam Sub-Critical,N,MP2,-33.358892,150.031322
Millmerran Power Plant,435.72931,QLD1,2022-07-01T11:05:00+0000,96.83,102.28,450,426,90,426,1,Millmerran Energy Trader Pty Ltd,Generator,Market,Scheduled,Fossil,Black Coal,Combustion,Steam Super Critical,N,MPP_1,-27.961542,151.278949
Millmerran Power Plant,434.79849,QLD1,2022-07-01T11:05:00+0000,96.62,102.07,450,426,90,426,2,Millmerran Energy Trader Pty Ltd,Generator,Market,Scheduled,Fossil,Black Coal,Combustion,Steam Super Critical,N,MPP_2,-27.961542,151.278949
Mt Stuart Power Station,0,QLD1,2022-07-01T11:05:00+0000,0,0,152,146,31,146,1,Origin Energy Electricity Limited,Generator,Market,Scheduled,Fossil,Kerosene,Combustion,Open Cycle Gas turbines (OCGT),N,MSTUART1,-19.337998,146.851171
Mt Stuart Power Station,0,QLD1,2022-07-01T11:05:00+0000,0,0,152,146,31,146,2,Origin Energy Electricity Limited,Generator,Market,Scheduled,Fossil,Kerosene,Combustion,Open Cycle Gas turbines (OCGT),N,MSTUART2,-19.337998,146.851171
Mt Stuart Power Station,0,QLD1,2022-07-01T11:05:00+0000,0,0,139,131,28,131,3,Origin Energy Electricity Limited,Generator,Market,Scheduled,Fossil,Kerosene,Combustion,Open Cycle Gas turbines (OCGT),N,MSTUART3,-19.337998,146.851171
"Murray 1 Power Station, Murray 2 Power Station",498.90002,VIC1,2022-07-01T11:05:00+0000,31.68,33.26,1575,1500,450,"95, 138","1-10, 1-4",Snowy Hydro Limited,Generator,Market,Scheduled,Hydro,Water,Renewable,Hydro - Gravity,Y,MURRAY,-36.246713,148.190095
Musselroe Wind Farm,0,TAS1,2022-07-01T11:05:00+0000,0,0,168,168,17,3,Jan-56,Hydro-Electric Corporation trading as Hydro Tasmania,Generator,Market,Semi-Scheduled,Wind,Wind,Renewable,Wind - Onshore,N,MUSSELR1,-40.779758,148.0097592
North Brown Hill Wind Farm,18.1,SA1,2022-07-01T11:05:00+0000,13.71,13.68,132,132.3,30,2.1,Jan-63,AGL Hydro Partnership,Generator,Market,Semi-Scheduled,Wind,Wind,Renewable,Wind - Onshore,N,NBHWF1,-33.252576,138.712289
Newport Power Station,513.375,VIC1,2022-07-01T11:05:00+0000,100.66,102.68,510,500,20,500,1,Ecogen Energy Pty Ltd,Generator,Market,Scheduled,Fossil,Natural Gas,Combustion,Steam Sub-Critical,N,NPS,-37.841462,144.894197
Oakey Power Station,0,QLD1,2022-07-01T11:05:00+0000,0,0,171,141,30,141,1,ERM Power Retail Pty Ltd,Generator,Market,Scheduled,Fossil,Natural Gas,Combustion,Open Cycle Gas turbines (OCGT),N,OAKEY1,-27.418362,151.679767
Oakey Power Station,0,QLD1,2022-07-01T11:05:00+0000,0,0,171,141,30,141,2,ERM Power Retail Pty Ltd,Generator,Market,Scheduled,Fossil,Natural Gas,Combustion,Open Cycle Gas turbines (OCGT),N,OAKEY2,-27.418362,151.679767
Oaklands Hill Wind Farm,6.1,VIC1,2022-07-01T11:05:00+0000,9.68,9.1,63,67,30,2.1,32,AGL Hydro Partnership,Generator,Market,Semi-Scheduled,Wind,Wind,Renewable,Wind - Onshore,N,OAKLAND1,-37.663801,142.548056
Osborne Power Station,191.47,SA1,2022-07-01T11:05:00+0000,93.86,106.37,204,180,41,"118, 62","1, 2",Origin Energy Electricity Limited,Generator,Market,Scheduled,Fossil,Natural Gas,Combustion,Combined Cycle Gas Turbine (CCGT),Y,OSB-AG,-34.798021,138.507884
Poatina Power Station,117.90128,TAS1,2022-07-01T11:05:00+0000,95.08,117.9,124,100,20,50,2-Jan,Hydro-Electric Corporation trading as Hydro Tasmania,Generator,Market,Scheduled,Hydro,Water,Renewable,Hydro - Gravity,Y,POAT110,-41.811573,146.919038
Poatina Power Station,238.082,TAS1,2022-07-01T11:05:00+0000,96,119.04,248,200,40,50,6-Mar,Hydro-Electric Corporation trading as Hydro Tasmania,Generator,Market,Scheduled,Hydro,Water,Renewable,Hydro - Gravity,Y,POAT220,-41.811573,146.919038
Port Lincoln Gas Turbine,8.67E-03,SA1,2022-07-01T11:05:00+0000,0.02,0.02,55,50,6,25,2-Jan,Synergen Power Pty Limited,Generator,Market,Scheduled,Fossil,Diesel,Combustion,Open Cycle Gas turbines (OCGT),Y,POR01,-34.70019,135.804728
